,premise,hypothesis,labels,genre
78,oh i don't know either the other growing up all i knew was,I know because I learned it growing up,1,telephone
79,WHOLE LIFE POLICIES - Policies that provide insurance over the insured's entire life and the proceeds (face amount) are paid only upon death of the insured.,Whole life policies are a type of life insurance that only cover the insured person until retirement from the workforce.,1,government
80,Justice Kennedy does not care what law librarians across the country do with all the Supreme Court Reporters from 1790 through 1998.,Justice Kennedy doesn't care if the Supreme Court Reporters from 1790 to 1998 are thrown away.,0,slate
81,The entire city was surrounded by open countryside with a scattering of small villages.,The whole countryside is scattered with small villages. ,0,travel
83,it's actually there well Iraq has had uh designs on that place since nineteen twenty two so you know it wasn't like something that just suddenly popped up,The weird thing is that Iraq was never interested in that place until now.,1,telephone
85,"Prototyping, for example, may act as part of the requirements definition process, helping the agency identify and control areas of high uncertainty and technical risk.","Prototyping is not important, testing with the actual finished product is better.",1,government
86,"The regime's response of ferocious repression plus numerous other ineptitudes led to a third revolution in 1848, with the Bonapartists, led by Napoleon's nephew, emerging triumphant.",France was ruled by Napoleon's nephew after they won a revolution in 1848.,0,travel
88,so i guess my experience is is just with what we did and and so they didn't really go through the child care route they were able to be home together,They were able to be home rather than having to worry about getting child care.,0,telephone
89,DOD's common practice for managing this environment has been to create aggressive risk reduction efforts in its programs.,Creating risk reduction efforts is common practice.,0,government
92,if the United States had used full conventional power.,The United States has no power to use.,1,slate
93,yeah really no kidding,Really? No kidding! ,0,telephone
94,Visit at sundown or out of season to get the full flavor of the setting.,The setting is better to visit at sundown or during low season.,0,travel
96,"All of the islands are now officially and proudly part of France, not colonies as they were for some three centuries.",The islands are part of France now instead of just colonies.,0,travel
97,"(For more information on BLM's senior executive performance plans, see app.",BLM's performance plans are visible online.,0,government
99,"Taking an ecumenical tack, nation officials in Chicago recently issued edicts commanding preachers to back off their anti-Semitic rhetoric.",Nation officials in Chicago are involved in religious issues.,0,slate
101,"To savour the full effect of the architect's skill, enter the courtyard through the gate which opens onto the Hippodrome.",The gate to the Hippodrome is an example of the architect's skill.,0,travel
102,"There is nothing more to be done here, I think, unless, he stared earnestly and long at the dead ashes in the grate. ",There isn't anything left to do. ,0,fiction
103,"In Texas, the legislature was instrumental in effecting changes to the state's benefit programs through provisions in several pieces of legislation.",The legislature was instrumental in effecting changes to the benefit program.,0,government
106,"Around 1500 b.c. , a massive volcanic eruption at Santorini destroyed not only Akrotiri under feet of ash and pumice but the whole Minoan civilization.",The entire Minoan civilization was destroyed by a volcanic eruption.,0,travel
107,"The great thing is to keep calm."" Julius groaned.",Julius made a groaning sound.,0,fiction
108,"June 21, 1995, provides the specific requirements for assessing and reporting on controls.",There are no specific requirements for assessment.,1,government
109,"This is especially true on Menorca, where cold winter winds limit the season's length.","This is especially untrue on Menorca, where warm summer weather extends the season's length.",1,travel
110,"Over most of the 1980s and 1990s, the U.S. was able to invest more than it saved by attracting financing from abroad.",The US could save more than it invested in the 1980's and 90's.,1,government
111,They consolidated programs to increase efficiency and deploy resources more effectively,"Programs to increase efficiency were consolidated, because they care deeply about efficiency. ",1,government
112,The sacred is not mysterious to her.,The woman is familiar with the sacred.,0,slate
113,"If you land by boat, Caravelle beach is yours for the using; otherwise you'll have to pay a nominal charge to the vacation club that owns the acreage.",There is a charge for people arriving at Caravelle beach by land.,0,travel
114,It profiles a new kind of office superstore-cum-hotel that sells generic office space to lonely telecommuters.,Telecommuters buy generic office space.,1,slate
115,"Behind the cathedral, croseover the Rue de la R??publique to the 15th-century Eglise Saint-Maclou, the richest example of Flam?­boy?­ant Gothic in the country.",Eglise Saint-Michel is built in a flamboyant Gothic style.,0,travel
116,"Julius before the safe in the flat, her own question and the pause before his reply, ""Nothing."" Was there really nothing? ","Julius paused for a while, before answering her.",0,fiction
117,GAO recommends that the Secretary of Defense revise policy and guidance,GAO recommends that the Secretary of Defense revise policy and guidance,0,government
118,"The Kal tangled both of Adrin's arms, keeping the blades far away.","Adrin's arms were tangled, keeping his blades away from Kal.",0,fiction
119,The primary screen must be integrated into the standard intake procedure of the emergency setting and must be the responsibility of the staff to administer to all patients.,The primary screen is the responsibility of the staff to be given to all patients.,0,government
120,"I have been visiting an old woman in the village, she explained, ""and as Lawrence told me you were with Monsieur Poirot I thought I would call for you.""",There is an old woman in the village that I have been visiting. ,0,fiction
122,Slate 's Joseph Nocera.,Nocera works for Slate.,0,slate
123,"This town, which flourished between 6500 and 5500 b.c. , had flat-roofed houses of mud and timber decorated with wall-paintings, some of which show patterns that still appear on Anatolian kilims.",This town is over 8000 years old.,0,travel
124,Candidates must submit a set of fingerprints for review by the FBI.,People that want the job have to have their fingerprints sent to the FBI.,0,slate
125,"In 1998, Cesar Chavez fasted for 36 days in California to underscore the dangers of pesticides to farm workers and their children.",Cesar Chavez was not concerned about the dangers of pesticide use.,1,government
126,The red moon made her skin glow.,Her skin was glowing from the red moon.,0,fiction
128,"However, in the off-field (sentimental) tournament, the Falcons and Jets have more appealing story lines.",The Jets and Falcons have boring stories.,1,slate
129,right after the war,Just after the war ended.,0,telephone
130,i'm kind of familiar with the weather out that way in west Texas but not in not in Lewisville,I do not know the weather conditions in Lewisville.  ,0,telephone
131,"In the moment of victory, Tuppence betrayed a somewhat unsportsmanlike triumph.",Tuppence was triumphant.,0,fiction
132,"The central features of the Results Act-strategic planning, performance measurement, and public reporting and accountability-can serve as powerful tools to help change the basic culture of government.",The Results Act has strategic planning as a central feature. ,0,government
134,"They made little effort, despite the Jesuit presence in Asia, to convert local inhabitants to Christianity or to expand their territory into the interior.","The Jesuit presence in Asia helped to convert local residents to Christianity, allowing them to expand their territory. ",1,travel
135,Dirt mounds surrounded the pit so that the spectators stood five or six people deep around the edge of the pit.,The ground is totally flat.,1,fiction
136,i think it's real good anyway it's it's been it was nice meeting you,It was nice meeting you,0,telephone
137,um-hum  right do where are you at what state,Where are you located?,0,telephone
138,Small towns like Louisian lay scattered all over the Oil Fields; the main train line branched between them.,There were a lot of small towns in the oil fields.,0,fiction
139,"There's only one thing for me to do.""",There's a few things left for me to do.,1,fiction
140,The  liberation  of these old European colonies created the basis for postwar independence movements proclaiming the Japanese slogan  Asia for the Asians.  ,Old European colonies were liberated.,0,travel
143,But those that are manufactured for sale in in Europe and so forth are quite the other way around,The ones that are made to sell in Europe are different.,0,telephone
146,Sometimes it flattens entire neighbourhoods to make life easier for them.,All neighborhoods are perfectly safe in their pursuit of an easier life.,1,fiction
148,Then I considered.,"Afterwards, I thought about it.",0,fiction
151,You will find two principal  fino and olorose,You won't find any fino or olorose.,1,travel
152,"The sooner we strike the better."" He turned to Tuppence.",He convinced Tuppence to hold off on their action plan. ,1,fiction
153,yeah that's where i got to too the first i got chills up and down when i heard the on the radio and the first time they started doing the bombing,When I heard that on the radio I got chills and the beginning of the bombing.,0,telephone
154,"This having come to his stepmother's ears, she taxed him with it on the afternoon before her death, and a quarrel ensued, part of which was overheard. ",A fight broke out between the stepmother and the man before her death.,0,fiction
155,"Next, you enter the vast and splendid Imperial Hall, with three handsome marble fountains, and a canopied throne from which the sultan would enjoy the music and dancing of his concubines.",The Imperial Hall houses three marble fountains.  ,0,travel
157,at least i'm going to give it a try cause you can see i mean the oil filters i mean you can touch it it's right there,It seems like it's worth trying to get the oil filter out.,0,telephone
158,"Tracking down the tiger is a subtle affair, and requires a degree of dedication, calm, and stealth.",You must be very silent when tracking tigers.,0,travel
159,"Down the street from the statue is the Bank of Ireland , built in 1729 to house the Irish parliament.",The Bank of Ireland's location used to be that of the Irish parliament.,1,travel
160,Adrin nodded.,Adrin nodded his head.,0,fiction
161,"The WP runs a piece inside reporting that during a church service last Sunday, Cardinal John O'Connor of New York criticized President Clinton from the pulpit for taking Catholic communion while in South Africa.",The WP runs a piece outside reporting ,1,slate
163,"For big Raj-buffs, the supreme example of Indo-Gothic style is the Victoria Terminus, affectionately abbreviated to VT nowadays, once the railway station that launched adventures inland, now handling mostly suburban traffic.",The Victoria Terminus is still the main departure point for travelers heading deeper into the country.,1,travel
164,Cop  Bud White (Crowe) and Ed Exley (Pearce) almost mix it up (59 seconds) :,Bud White and Ed Exley almost mix it up.,0,slate
165,"The only drawback is, of course, the large crowds in summer.",It is pretty much deserted in July.,1,travel
169,were sort of a double sign with a a big miles per hour and a little kilometers per hour type uh marking on the side,A sign that only displays mph.,1,telephone
170,The Tunnel of Eupalinos can be explored but it's not for the claustrophobic.,Claustrophobics will not enjoy the tunnel of Eupalinos.,0,travel
171,Another alternative is that our heroes were pursuing the noble goal of academics everywhere--tenure.,Our heroes aren't going for any academic goals. ,1,slate
175,"By then, the program had added Carroll and Grayson counties and the city of Galax and had five attorneys.",The program had only one single attorney.,1,government
178,Well? cried Tommy eagerly.,Tommy didn't speak.,1,fiction
179,Even the lower limit of that differential compounds to a hefty sum over time.,The differential will not grow.,1,slate
180,He had forgotten about Adrin.,He didn't remember Adrin.,0,fiction
182,"Reportedly the biggest payment made in such a case, it is hardly a nick in Texaco's annual revenue of more than $30 billion.",The biggest payment they made barely hurt their profits.,0,slate
183,"The flame or whatever it was had enough heat, but it was hard to control.","The flame was easy to control, but lacked heat. ",1,fiction
184,um pardon me,I don't apologize.,1,telephone
186,"We hate them because they are smarter, or more studious, or more focused than we are.",We hate them out of jealousy for being smarter than us. ,0,slate
187,These alone could have valuable uses.,These by themselves could prove valueable. ,0,slate
188,Near Jerusalem,It is close to Jerusalem.,0,travel
189,"Tell me, how did those scribbled words on the envelope help you to discover that a will was made yesterday afternoon?"" Poirot smiled. ",How could you not figure out that there was a will written yesterday?,1,fiction
190,"Escaped or abandoned raccoons have been breeding in the wild for the past 20 years and have damaged corn crops, watermelon and melon farms, and rainbow trout hatcheries, the paper said.","Raccoons, if they are abandoned, tend to damage things- this is what has been happening for the past 20 years.",0,slate
191,"32 Under the RSA proposal, a worker between the ages of 25 and 60 with family earnings of at least $5,000 could contribute up to $1,000 annually through either an employer-sponsored saving plan or a tax-deferred individual account.","Most workers could contribute up to $1,000 each year.",0,government
194,of course you could annex Cuba but they wouldn't like that a bit,Annexing Cuba is a great idea.,1,telephone
196,"( sums up the millennium coverage from around the globe, and  examines whether the Y2K preparations were a waste.)",(The millennium coverage from around the globe is summed up and examined).,0,slate
197,"They are levied through the power of the Government to compel payment, and the person or entity that pays these fees does not receive anything of value from the Government in exchange.",They are not levied through the power of the Government to compel payment.,1,government
198,"Moreover, Las Vegas has recently started to show signs of maturity in its cultural status as well.",The culture of Las Vegas has recently matured.,0,travel
199,so Eric what do you think um,"How do you feel about it, Eric?",0,telephone
200,Sir James's presence in Manchester was not accidental.,Manchester was not the place that Sir James had intended to go.,1,fiction
201,"Such multicolored reef dwellers as the parrotfish and French angelfish, along with weirdly shaped coral, crawfish, or turtles hiding in crevices, can be yours for the viewing in these clear waters where visibility of 30 m (100 ft) is common.","Because visibility is so good, you can see French angelfish, crawfish, and other reef dwellers.",0,travel
202,Benchmarked by U.S.,Benchmark in America.,0,government
204,"External Validity The extent to which a finding applies (or can be generalized) to persons, objects, settings, or times other than those that were the subject of study.","External Validity gets its name from the fact that what's being studied are people, things, and individuals who are outside of the study.",0,government
205,"No, indeed, said Cynthia. ","Certainly not, said Cynthia.",0,fiction
207,"In the other bracket, the Broncos beat the New York Jets.",The Broncos beat the New York Jets. ,0,slate
208,"We were playing all sorts of sports, and you were not, so shut up and stop twitching,' the microbe's tone of voice changed, it was lower and more resounding.","We have played football, basketball, baseball and soccer and you haven't played anything so shut your mouth. ",0,fiction
209,"To help identify solutions to this problem, Senators Fred Thompson and John Glenn, Chairman and Ranking Minority Member, respectively, of the Senate Committee on Governmental Affairs, requested that we study organizations with superior security programs to identify management practices that could benefit federal agencies.",Senators Fred Thompson requested the study to benefit federal agencies.,0,government
210,well i think i got to agree with you there,I could not agree with you.,1,telephone
211,"Generally, data collection and analysis are concurrent and interactive-that is, yoked in case study methods.",Data analysis includes case studies ,1,government
214,yeah well Rochester's like right on the shores isn't it,Rochester is right on the shores.,0,telephone
215,"The Balanced Scorecard Institute is a web clearinghouse for managers to exchange information, ideas, and lessons learned in building strategic management systems using the balanced scorecard approach.",The Balanced Scorecard has recently closed due to a lack of interest.,1,government
216,"There are no shares of a stock that might someday come back, just piles of options as worthless as those shares of Cook's American Business Alliance.",Those shares of stocks will never come back.,0,slate
218,"Say, man, don't you know you've been given up for dead? ",You were thought to be dead!,0,fiction
219,"Even us if you needed,"" said Jon.",He told them not to ask him to lift a finger.,1,fiction
220,"News berates computer users for picking obvious, easily cracked passwords and chastises system administrators for ignoring basic security precautions.",News outlets do not blame users or system administrators for security breaches. ,1,slate
221,"In its submission, HCFA did not identify any other statute or executive order imposing procedural requirements relevant to the rule.",HCFA didn't identify any other executive order.,0,government
222,"No one was there, no bones at all.",There were many bones in a pile.,1,fiction
225,well that's uh i agree with you there i mean he didn't have the surrounding cast that Montana had there's no doubt about that,I don't agree when you say that he didn't have as much support as Montana.,1,telephone
226,"As with other types of internal controls, this is a cycle of activity, not an exercise with a defined beginning and end.","There is no clear beginning and end, it's a continuous cycle.",0,government
227,There are many such at the present time.,There are none at all.,1,fiction
228,"With their fluent Vietnamese and Mandarin, they help Tran understand her family's eligibility for Medi-Cal and food stamps, assist the 70-year-old woman in finding a place to live and advise abused women how they can stay in the country while staying away from their husbands.",Tran spoke Mandarin. ,0,government
230,"It was planned in the 1820s as a symbol of Scottish national pride and designed as a mini-Parthenon, in deference to the neoclassical style popular at the time.",It was designed to look just like the White House.  ,1,travel
232,Scotland became little more than an English county.,Scotland was hardly better than an English county. ,0,travel
236,"He works himself into a fake froth; does some calculated, halfhearted gonzo writing; then collects a fat check.",He collects a big check for pretending to be outraged.,0,slate
237,the the Iranian borders are still open uh from what i understand understand um,From what I know the borders of Iran are still open.,0,telephone
239,A re-created street of colonial Macau is lined with traditional Chinese shops.,"This street, formerly a colonial site, is now home to modern high-rise development.",1,travel
240,Something may be better than nothing . If trials compared low-cost therapy to the complete AZT regimen it's likely that the new regimens will prove less effective.,It is better to have little than to have none at all.,0,slate
241,it would probably be a lot more work and probably not turn out as good,"Oh that way sounds great, it could turn out even better",1,telephone
243,"Territorial rights, in the form of a deck chair, can be assured for a nominal sum.",A deck chair can be used to show territorial rights.,0,travel
244,"During the half-century of its existence, Israel has absorbed approximately 2.5 million Jewish immigrants, displaced persons, refugees, and survivors of the Nazi Holocaust.",Israel shunned the Jewish people from entering to escape the Nazi Holocaust.,1,travel
247,"A new guideline, for example, may tell us to send heart surgery patients home earlier.",A new rule may advice us to discharge heart surgery patients earlier.,0,slate
248,"Also, under credit reform, the credit subsidy cost is recorded as an outlay when a direct or guaranteed loan is disbursed.",The credit subsidy cost is never recorded as an outlay under any circumstances.,1,government
250,OMB has approved the information collection contained on the Form ADV and has,OMB staunchly opposed the information collection contained on the Form ADV.,1,government
252,"Finally, the FDA will conduct workshops, issue guidance manuals and videotapes, and hold teleconferences to aid small entities in complying with the rule.",The FDA will only issue videotapes.,1,government
253,"The analysis concluded that, because the rule relaxed the hog cholera-related restrictions imposed on the importation of live swine and prepared pork products from Sonora, Mexico, the proposed rule could have a significant economic impact on a substantial number of small entities in the United States.",The analysis stated that the rule might have a large impact on small entities in the US.,0,government
254,"Cave 31 tries to emulate the style of the great Hindu temple on a much smaller scale, but the artists here were working on much harder rock and so abandoned their effort.",Cave 31 ran into problems because it was made of harder rock. ,0,travel
257,uh-huh well maybe well i've enjoyed talking to you okay bye-bye,I hated talking to you.,1,telephone
264,"Even today, Yanomamo men raid villages, kill men, and abduct women for procreative purposes.",Yanomamo is a terrorist.,1,slate
265,"Tom is the winner of a year's supply of Turtle Wax, and he will receive his prize just as soon as the Shopping Avenger figures out how much Turtle Wax actually constitutes a year's supply.",There are no winners of the one year supply of Turtle wax.,1,slate
266,"I feel that you probably underestimate the danger, and therefore warn you again that I can promise you no protection.","I warn you again, that I can promise you no protection, as I feel that you probably underestimate the danger.",0,fiction
269,"A good time to visit is just at the end of the monsoon in October when you can see flocks of storks, egrets, and cormorants and it is ideally combined with a full-moon trip to the Taj, but there's plenty to see all year round.",The monsoon season ends in the month of October.,0,travel
271,That is well. ,That is unwell.,1,fiction
273,"Divers can explore the deeps but you can also snorkel here, or take a glass-bottom boat or submarine tour to get a glimpse of this watery world.",Divers do not like to explore the deeps here.  ,1,travel
274,2. Receiving Water Samples,The water samples should be received.,0,government
275,The man shifted slightly and cut the spear out of the air.,The man moved near a flying spear. ,0,fiction
276,Why blame her because she had been true to her creed? ,She was not faithful to her own belief system.,1,fiction
277,"Oh, my friend, have I not said to you all along that I have no proofs. ",I've always had the proof that he did it.,1,fiction
278,Companies that were foreign had to accept Indian financial participation and management.,Foreign companies had to take Italian money.,1,travel
279,"When the next modernist revolution comes around, he'll be ready.",The man will be prepared.,0,slate
280,'I don't suppose you could forget I ever said that?',"It's not likely you'll forget that, right?",0,fiction
282,"And really it's a great relief to think he's going, Hastings, continued my honest friend. ","""Are you sure we can't do anything to keep him here?,"" admitted my long-time nemesis.",1,fiction
283,"'Not entirely,' I snapped, harsher than intended.",I spoke more harshly than I wanted to. ,0,fiction
284,"It features over 50 outlets for discounted designer fashions, from Armani to DKNY.",It has over 50 discount stores for designer fashion brands.,0,travel
285,This is a powerful and evocative museum.,The museum is powerful.,0,travel
286,sometimes well there's definitely a lot more hitting,The person says that there's definitely a lot more hitting.,0,telephone
287,"Like the Japanese, Chinese, and Portuguese before them, many of the new peoples would stay on in Hawaii, adding to the ethnic and racial mix that has become a hallmark of the islands.",Hawaii was homogenous. ,1,travel
288,It was other-worldly.,It was grounded in reality.,1,fiction
289,Voluntariness of risks is evaluated.,No evaluation is being done of risks.,1,government
290,"Most pundits side with bushy-headed George Stephanopoulos ( This Week ), arguing that only air strikes would be politically palatable.",Mr. Stephanopoulos has a very large pundit following due to his stance on air strikes only being politically palatable.,0,slate
291,"Thus, the net scale benefit is initially positive, whether or not we adjust for the wage premium.",Initial net scale benefits are negative when adjusted for the wage premium.,1,government
292,"The stuff was strong, but somewhat brittle.",It was incredibly strong and not brittle at all.,1,fiction
293,The best beach in Europe ' at least that's the verdict of its regulars.,Regular beachgoers say that it is the best in Europe.,0,travel
294,Don't remember. ,I do not remember.,0,fiction
296,probably you probably got everybody on you because they were probably all going to law school,It is possible that they were going to law school.,0,telephone
297,uh-huh how about any matching programs,What about matching programs? ,0,telephone
298,2) This particular instance of it stinks.,It is a terrible situation. ,0,slate
299,oh for heaven sakes for the drugs yeah uh-huh,For drugs.,0,telephone
301,yeah because being a student i'm doing it for the money,"I'm no longer a student, so I don't need the money anymore.",1,telephone
302,well i think of uh you mean as far as retirement,You never discuss retirement.,1,telephone
303,"If you have any questions about this report, please contact Henry R. Wray, Senior Associate General Counsel, at (202) 512-8581.",Henry R. Wray can be reached at (555) 512-8581.,1,government
304,Your speeches are inflammatory.,Your speeches are so calming.,1,fiction
305,"Given the limits on the WTO's jurisdiction, it was probably unreasonable of Kodak to expect a real victory.",Kodak was totally justified in expecting a victory.,1,slate
308,"Back to the subject of celebrity interviews, British magazines have published a huge number with actress Kate Winslet, the star of Titanic , to promote a new British film she has made.",British magazines boycotted Kate Winslet.,1,slate
309,"aChange in personal saving depends on how much of the $4,000 IRA contribution represents new saving.",The IRA contributes nothing to saving,1,government
310,"Although all four categories of emissions are down substantially, they only achieve 50-75% of the proposed cap by 2007 (shown as the dotted horizontal line in each of the above figures).",There has been a substantial decrease in each of the emission categories.,0,government
311,hi Mary have you gone visiting uh any new restaurants lately,"Hello, Mary, have you gone anywhere recently, such as restaurants? ",0,telephone
312,Black professionals braid their hair to display their ethnic pride.,Blacks proudly braid their hair.,0,slate
313,As of last week he charges $50 an hour minimum instead of $25 for the services of his yearling Northern Utah Legal Aid Foundation.,His charges went down.,1,government
314,"7) Nonautomated First-Class and Standard-A mailers have the option of requesting that their mail be processed manually, even though the costs for such processing are substantially higher than mechanized processing.",Nonautomated First-Class and Standard-A mailers cannot ask for their mail to be processed by hand because it costs the postal service more.,1,government
315,"The formal splendor of the grounds testify to the 18th-century desire to tame nature, but it is done with such superlative results that one can only be thankful that the work was undertaken.",The grounds were really beautiful.,0,travel
316,um-hum yeah right uh is yours a is it a a slab foundation or pier and beam,Your foundation is being beamed away.,1,telephone
317,"Although all four categories of emissions are down substantially, they only achieve 50-75% of the proposed cap by 2007 (shown as the dotted horizontal line in each of the above figures).",All of the emission categories experienced a downturn except for one.,1,government
318,i don't know i i do i can think of all the uh the biblical things about it too where what did they say to uh i can't think of the scripture Render unto Caesar's what is Caesar's so,I do not know about the bible or its scriptures.,1,telephone
320,"Others love to see it in the middle of the heaviest monsoon, its marble translucent, its image blurred in the rain-stippled water channels of its gardens.",None of the visitors like to see it during the monsoon.,1,travel
